number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,11,5,7,7,7,7,7,7,3,3,1,1,3,4,4,3
2,12,15,7,7,7,7,7,7,3,3,1,4,3,4,4,3
3,14,7,7,7,7,7,7,17,3,3,4,4,3,4,4,3
4,14,7,16,7,7,7,7,4,4,4,4,4,4,4,4,4
5,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
6,14,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
7,12,5,5,5,5,7,5,7,5,5,5,18,5,7,7,5
8,12,5,5,5,5,7,5,7,5,5,5,5,5,7,7,5
9,7,7,5,5,5,7,5,7,5,5,7,7,5,7,7,5
10,13,7,7,7,7,7,7,7,3,3,3,1,3,4,4,3
11,14,7,16,7,7,7,7,4,4,4,4,4,4,4,4,4
12,12,5,5,5,5,7,5,7,5,5,5,18,5,7,7,5
13,13,5,1,5,5,7,1,7,1,1,1,1,1,4,4,1
14,12,15,5,5,5,7,5,7,1,1,1,4,1,4,4,1
15,14,7,5,5,5,7,5,17,1,1,4,4,1,4,4,1
16,13,7,1,5,5,7,1,7,1,1,1,1,1,4,4,1
17,6,7,7,7,7,7,7,7,6,6,6,1,6,4,4,6
18,6,5,7,7,7,7,7,7,6,6,1,1,6,4,4,6
19,4,7,7,7,7,7,7,7,6,6,4,4,6,4,4,6
20,7,5,7,7,7,7,7,7,6,6,1,1,6,4,4,6
21,6,5,7,7,7,7,7,7,6,6,1,1,6,4,4,6
22,6,5,1,5,5,7,1,7,1,1,1,1,1,4,4,1
23,6,5,7,7,7,7,7,7,3,3,1,1,3,4,4,3
24,4,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4
25,7,5,5,5,5,7,5,7,5,5,5,5,5,7,7,5
